"Unit density","Number of transects","Transect length","_1%","_2%","_3%","_4%","_5%","_6%","_7%","_8%","_9%","_10%"
6,96,1,0.8182,0.6298,0.4642,0.3281,0.2348,0.1517,0.0907,0.053,0.0302,0.0171
6,96,1.1,0.8198,0.6218,0.4606,0.332,0.2135,0.1335,0.0822,0.0441,0.0241,0.0136
6,96,1.2,0.7917,0.5979,0.4409,0.3028,0.1944,0.115,0.0636,0.0334,0.0156,0.0073
6,96,1.3,0.7831,0.5751,0.4049,0.2661,0.1673,0.0948,0.0539,0.029,0.0135,0.0065
6,96,1.4,0.7743,0.5699,0.3928,0.263,0.1604,0.0926,0.0465,0.0232,0.0115,0.0053
6,96,1.5,0.7756,0.5567,0.3961,0.2466,0.1467,0.0816,0.0396,0.0175,0.0099,0.0044
6,96,1.6,0.7698,0.5453,0.3588,0.2247,0.1312,0.0712,0.0361,0.0166,0.0057,0.0025
6,96,1.7,0.7663,0.541,0.3528,0.2131,0.1148,0.0585,0.0272,0.013,0.0044,0.0017
6,96,1.8,0.7457,0.5225,0.3356,0.1994,0.1065,0.0511,0.0231,0.009,0.003,9e-04
6,96,1.9,0.7353,0.5078,0.3199,0.1849,0.0958,0.0478,0.0201,0.009,0.0033,0.0017
6,96,2,0.7323,0.4774,0.301,0.1602,0.085,0.0377,0.0165,0.0058,0.0023,6e-04
6,96,2.1,0.7274,0.4845,0.3013,0.1685,0.0818,0.0373,0.016,0.0048,0.0018,2e-04
6,96,2.2,0.7258,0.469,0.2837,0.1556,0.0746,0.0324,0.012,0.0047,0.0012,5e-04
6,96,2.3,0.7018,0.4677,0.2763,0.1386,0.0661,0.0289,0.0106,0.0029,4e-04,3e-04
6,96,2.4,0.7009,0.4468,0.2594,0.1335,0.0605,0.0257,0.0083,0.0022,7e-04,2e-04
6,96,2.5,0.696,0.4444,0.2475,0.1284,0.0563,0.0236,0.0086,0.0023,0.001,2e-04
6,96,2.6,0.6989,0.4413,0.246,0.12,0.0529,0.0204,0.0066,0.0017,1e-04,0
6,96,2.7,0.7006,0.4297,0.2352,0.1118,0.0501,0.0162,0.0054,0.0014,8e-04,2e-04
